PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,GameId_x,LastTournamentYear,GameId_y,GameId,GameName,RecentEarningsUSD
18811,2015-04-26,2024-01-28,8.758384668035593,536247.85,k0nfig,Ongoing,2015,2024,FPS,2015,128,245,2024,245,245,Counter-Strike: Global Offensive,1341750.0
18897,2014-11-23,2024-09-15,9.81245722108145,5898810.6,Topson,Ongoing,2014,2024,MOBA,2014,44,231,2024,231,231,Dota 2,2454380.0
18904,2015-04-26,2018-09-08,3.370294318959617,559518.75,Blank,Inactive,2015,2018,MOBA,2015,15,164,2018,164,164,League of Legends,0.0
19074,2015-05-20,2025-05-11,9.976728268309378,3611111.18,Saksa,Ongoing,2015,2025,MOBA,2015,86,231,2025,231,231,Dota 2,13434441.0
19133,2015-07-04,2024-11-06,9.344284736481862,862901.87,CleanX,Ongoing,2015,2024,FPS,2015,41,749,2024,749,749,Call of Duty: Vanguard,3481000.0
19382,2015-07-05,2024-01-01,8.492813141683778,1287091.81,Sccc,Ongoing,2015,2024,MOBA,2015,76,231,2024,231,231,Dota 2,779988.0
19595,2015-07-12,2025-05-18,9.850787132101301,517274.45,woxic,Ongoing,2015,2025,FPS,2015,119,245,2025,245,245,Counter-Strike: Global Offensive,1325470.06
19597,2015-05-24,2025-01-26,9.678302532511978,473207.85,Oliveira,Ongoing,2015,2025,RTS,2015,240,151,2025,151,151,StarCraft II,2059390.0
19967,2015-07-19,2023-04-03,7.707049965776865,630136.6,YawaR,Inactive,2015,2023,MOBA,2015,51,231,2023,231,231,Dota 2,1282550.0
19968,2015-07-18,2021-01-23,5.519507186858316,465268.99,KyoCha,Inactive,2015,2021,MOBA,2015,31,371,2021,371,371,Heroes of the Storm,4249.0
20101,2015-07-22,2025-03-04,9.618069815195073,1142352.35,BoBoKa,Ongoing,2015,2025,MOBA,2015,97,231,2025,231,231,Dota 2,4953156.0
20234,2015-07-26,2024-10-06,9.19917864476386,991965.0,Frosty,Ongoing,2015,2024,FPS,2015,84,423,2024,423,423,Halo 5: Guardians,1586460.0
20235,2015-07-26,2024-10-06,9.19917864476386,693275.0,Eco,Ongoing,2015,2024,FPS,2015,63,423,2024,423,423,Halo 5: Guardians,1690800.0
20415,2015-07-19,2025-03-30,9.697467488021903,1763893.1,Twistzz,Ongoing,2015,2025,FPS,2015,146,245,2025,245,245,Counter-Strike: Global Offensive,4960250.0
20727,2015-08-01,2025-03-30,9.661875427789186,991400.65,huNter,Ongoing,2015,2025,FPS,2015,126,245,2025,245,245,Counter-Strike: Global Offensive,4491750.0
20813,2015-08-01,2025-05-18,9.796030116358658,821741.03,Aleksib,Ongoing,2015,2025,FPS,2015,123,245,2025,245,245,Counter-Strike: Global Offensive,3425416.0
21239,2015-07-12,2024-10-06,9.23750855578371,426231.47,pino,Ongoing,2015,2024,FPS,2015,32,439,2024,439,439,Rainbow Six Siege,2349000.0
21291,2015-08-14,2025-05-18,9.760438056125942,490553.69,REZ,Ongoing,2015,2025,FPS,2015,136,245,2025,245,245,Counter-Strike: Global Offensive,1508916.0
21418,2015-07-20,2022-05-08,6.80082135523614,326950.96,Six,Inactive,2015,2022,MOBA,2015,31,371,2022,371,371,Heroes of the Storm,6701002.0
