PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize
51619,Aydan,Conrad,Aydan,us,711936.69
12466,Rasmus,Borregaard Winther,Caps,dk,709619.84
42936,Scofield leches,Gomez,Scofield,pe,707423.07
10718,Xinzhou,Liu,garder,cn,705536.20
3141,Jonathan,Berg,Loda,se,705204.72
69507,Hee Joo,Na,Inonix,kr,703435.17
38125,Turner,Tenney,Tfue,us,702825.01
10485,Justin,Savage,jks,au,702351.43
80851,Matvey,Vasyunin,MieRo,ru,702151.60
1505,Young Ho,Lee,Flash,kr,700820.76
52108,Indervir,Dhaliwal,iLLeY,ca,696553.33
29711,Ethan,Arnold,Ethan,us,693647.05
20235,Kevin,Smith,Eco,us,693275.00
11868,Zezhi,Chen,Xz,cn,692327.42
71444,Abdullah,Akhras,Acorn,ca,691577.39
4674,Sung Wook,Joo,Zest,kr,690082.59
24832,David,Čerňanský,frozen,sk,689231.99
70222,Rhye,Perry,Zer0,au,688927.23
89954,Tingpu,Yang,GAI,cn,688016.28
2762,Eon Yeong,Jung,Impact,kr,686649.73
36550,Armel Paul,Tabios,Armel,ph,684905.69
115052,Qinglong,Zeng,QiaoXi,cn,684334.96
49036,Sergey,Rykhtorov,Ax1Le,ru,683496.95
30686,Yi,Pan,Fade,cn,680524.49
26896,Braedon,Boettcher,StelluR,us,678675.00
69523,Run,Ma,Beizhai,cn,678414.22
3724,Jerry,Lundqvist,EGM,se,677630.08
89892,Kuan,Zhou,QianShi,cn,677281.37
47792,Shahar,Shushan,flameZ,il,676568.06
10244,Pengfei,Zheng,Even,cn,676528.10
14768,Ivan,Kapustin,ubah,ru,676467.77
55162,Jonáš,Volek,SabeRLight-,cz,676227.57
5034,Casper,Møller,cadiaN,dk,675748.01
89899,Jiajie,Tang,XiaoYing,cn,673819.31
46805,Donovan,Hunt,TekKz,gb,672494.80
91155,Andrej,Piratov,merstachhh,lv,671181.79
48581,Vladislav,Gorshkov,nafany,ru,669061.73
95073,Yutao,Wu,HuaJuan,cn,668908.67
1042,Joon,Park,Lyn,kr,668434.36
2272,Yoo Jin,Kim,sOs,kr,665449.84
52436,Jordan,Wolfe,Reps,us,665059.65
51936,Timothy,Miller,Bizzle,us,664776.39
6013,Eui Jin,Song,Rookie,kr,664528.80
68957,Nikola,Krudulj,TruleX,rs,664267.00
2576,Oleksandr,Dashkevych,XBOCT,ua,663158.09
3042,Joon Ho,Kim,herO,kr,660347.49
46952,Loïc,Chongthep,BriD,fr,660125.67
91075,Peter,Kata,PeterBot,us,658724.17
104475,Ye,Zhang,Zy,cn,657282.25
50164,Matt,Smith,Kickstart,us,655509.19
12663,Ye,Tian,Meiko,cn,653537.31
15754,Jiwei,Huang,Shiki,cn,653514.33
23188,Tommy,Le,Taiga,no,651478.86
50319,Min Ki,Park,Viol2t,kr,651349.29
96385,Danil,Kryshkovets,donk,ru,649619.60
3140,Joakim,Akterhall,Akke,se,648738.70
39166,Seung Lok,Kang,TheShy,kr,647773.33
16031,Tsunehiro,Kanamori,Gachikun,jp,646084.53
3481,Yoon Su,Eu,soO,kr,645423.06
69520,Haoming,Chen,Ming,cn,645125.12
49387,Hector Antonio,Rodriguez,K1,pe,642841.68
34750,Qian,Zhang,ZQ,cn,642838.77
41398,René,Madsen,TeSeS,dk,641390.92
73319,Austin,Scherff,M1ME,us,641320.19
88011,Nanjiang,Li,Nannnnn,cn,641141.60
49530,Massimo,Franceschi,Atomic,us,640852.05
4311,Will,Wierzba,Rush,us,640176.87
62655,Leon,Khim,Khanada,us,640124.67
3799,Thomas,Trewren,Tommey,gb,640049.28
3523,Henrik,Ahnberg,AdmiralBulldog,se,638187.73
2236,Dae Yeob,Kim,Stats,kr,637665.08
57463,Klaus,Konstanzer,stompy,at,634421.94
1017,Hyun Woo,Byun,ByuN,kr,634266.17
117421,Cooper,Smith,Cooper,us,634205.00
43849,Tae Min,Kang,Taemin,kr,632268.84
95062,Keqin,Wang,XingHen,cn,631460.45
19967,Yawar,Hassan,YawaR,pk,630136.60
3657,Min Soo,Kang,Solar,kr,629945.00
10736,Markus,Kjærbye,Kjaerbye,dk,626896.93
1492,Christopher,Alesund,GeT_RiGhT,se,626471.76
83818,Alexander,Schlik,Vadeal,de,625695.30
95064,Kang,Ye,BuRan,cn,625517.83
71468,Pinyan,Zhou,ZpYan1,cn,625229.63
1488,Jarosław,Jarząbkowski,pashaBiceps,pl,625065.15
102847,Ziwei,Li,Yisheng,cn,624112.52
33679,Martin,Lund,stavn,dk,623037.63
31871,Preston,Sanderson,Prestinni,us,622473.43
34363,Liuyi,Wang,Baolan,cn,619658.35
61776,Ben,Peterson,Edgey,us,616688.15
4885,Yong Min,Kim,Febby,kr,616244.35
104494,Jiawei,Yang,Jwei,cn,615697.77
1705,Hajime,Taniguchi,Tokido,jp,613805.68
39608,Aleksei,Golubev,Qikert,kz,613616.63
12812,Dillon,Price,Attach,us,612273.35
52441,Jean Pierre,Gonzales,Chris Luck,pe,611364.54
76886,Paulo,Henrique Chaves,PHzin,br,610235.02
109867,-,-,Mugi,jp,608918.88
3951,Christiaan,de Jong,chrisJ,nl,608724.32
128772,Xiaojun,Shuang,GuiQi,cn,607392.87
89890,Tengfei,Ma,ShenRen,cn,606346.53
