NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments,PlayerId
Bryan,Zhelyazkov,Apathy,us,426,64,605618.93,76,5290
Yongzheng,He,Inflame,cn,428,103,601854.15,26,10074
Ding,Zhuo,Knight,cn,429,104,599936.39,25,37699
Feichi,Luo,Ferrari_430,cn,430,105,597877.06,72,2597
Longhui,Jiang,FengJie,cn,431,106,597404.53,8,102883
Ludvig,Brolin,Brollan,se,432,19,597025.84,110,37663
Zhenning,Gao,Ning,cn,433,107,596966.58,21,28734
Noah,Pyo,MP,kr,434,36,592676.77,47,4883
Yanwen,Wang,HS,cn,435,108,592619.22,42,99306
Steven,Vargas,StingeR,pe,436,4,592510.78,74,17616
Sunyeob,Kim,QO,kr,438,37,591322.79,41,4888
Joshua,Butler,Cold,us,439,66,590175.0,57,104813
İsmailсan,Dörtkardeş,XANTARES,tr,427,1,605060.93,174,13134
Alex,Sunderhaft,Neeb,us,440,67,589720.96,227,3818
Landon,Konerman,BeastMode,us,437,65,591424.35,87,81612
Jiahao,Bai,369,cn,441,109,588115.4,23,56731
Enzo,Grondein,Seikoo,fr,442,13,587530.18,62,91606
Chong Xin,Khoo,Ohaiyo,my,443,9,586016.52,71,3641
Luka,Perković,PerkZ,hr,444,1,585736.6,33,8924
Yanis,Champenois,Alpha54,fr,445,14,585503.21,97,53843
Jacob,Knapman,JKnaps,ca,446,15,585413.45,159,32223
Cameron,McKilligan,Cammy,gb,448,10,584150.0,44,53086
Reed,Wilen,Chicago,us,447,68,584540.38,125,40347
Paweł,Bieliński,byali,pl,449,8,583489.51,137,4997
Doh Woo,Kim,Classic,kr,450,38,582687.26,318,2271
Jiajun,Meng,DaShuai,cn,451,110,582651.76,3,145864
Senming,Shi,Ming,cn,452,111,582384.84,27,28735
Shengqqin,Xia,Hurt,cn,453,112,581507.86,19,60418
Thijs,Molendijk,Thijs,nl,454,6,579189.66,95,7517
Rafli Fathur,Rahman,Mikoto,id,455,2,577522.71,59,49361
Hau-Hsuan,Hung,Karsa,tw,456,5,575459.59,36,11154
Jae Won,Lee,LIP,kr,457,39,573689.79,27,51534
Myroslav,Plakhotia,zont1x,ua,419,12,612263.47,48,92743
Nam Joo,Kwon,Striker,kr,458,40,571305.19,15,40261
Worawit,Mekchai,Q,th,459,3,567507.34,58,54498
Zhiyong,Wang,old chicken,cn,460,113,567040.77,47,13394
Amer,Zulbeari,Pred,au,461,6,566830.0,56,57481
Daniel,Walsh,Dubs,us,462,69,566279.99,91,57614
Yitao,Zhou,QianC,cn,463,114,563959.13,16,89909
Cédric,Guipouy,RpK,fr,464,15,562227.09,164,3293
Nathan,Berquignol,Nayte,fr,465,16,560308.75,73,56863
Linus,Blomdin,Limmp,se,466,20,559619.65,104,9830
Sun Gu,Kang,Blank,kr,467,41,559518.75,15,18904
Jonathan,Willette,Renegade,us,468,70,558875.0,53,33340
Johnathan,Perez,John,us,469,71,555499.59,78,3710
Zihao,Jian,Uzi,cn,470,115,553869.6,44,4038
Chan Yong,Kang,Ambition,kr,471,42,553454.41,39,2749
Timofey,Yakushin,interz,ru,472,29,553226.34,71,40798
Yan,Nolasco,yanxnz,br,473,6,552795.75,80,89081
Xinzhen,Xu,JiuWei,cn,474,116,551072.59,15,89908
Aleksandr,Batulin,BatulinS,ru,475,30,550577.43,56,51379
Kim,Villafuerte Santos,Gabbi,ph,476,7,550385.15,64,31966
Will,Merriman,mezii,gb,477,11,550135.95,72,30865
Richard,Landström,Xizt,se,478,21,549513.99,177,2440
Se Hyeong,Cho,Mata,kr,479,43,549295.45,38,3830
Saul Leonardo,Mena Segundo,MenaRD,do,480,1,548812.57,41,41926
Min Seok,Ryu,Keria,kr,481,44,546893.12,28,76230
Boon Seng,Kam,Moon,my,482,10,546264.32,66,15807
Garrett,Gordon,GarrettG,us,483,72,546071.69,173,27359
Evan,Verhulst,Verhulst,us,484,73,544299.99,50,99980
Hongcheng,Guo,Xm,cn,485,117,543873.58,55,60239
Myeong Hwan,Yoo,smurf,kr,486,45,541784.3,25,46828
Eric,Wrona,Snip3down,us,487,74,541601.84,162,1203
Sang-don,Lee,Forev,kr,488,46,541537.11,49,4893
Manuel,Bachoore,ManuBachoore,nl,489,7,541194.35,24,110315
Soo-hoon,Lim,Ulsan,kr,490,47,538341.48,58,65775
Taek Yong,Kim,Bisu,kr,491,48,537913.56,178,1589
Min Chul,Jang,MC,kr,492,49,537732.41,124,1000
Kristian,Wienecke,k0nfig,dk,494,21,536247.85,128,18811
Simon,Haag,Handsken,se,495,22,535999.6,107,12230
Rhys,Price,Rated,gb,496,12,535931.89,169,14182
Alexandre,Courant,Kaydop,fr,493,17,536502.69,238,34191
Martin,Foss,MrSavage,no,497,5,534730.9,171,61171
Hyuk Kyu,Kim,Deft,kr,498,50,533702.27,50,3843
Noyan,Ozkose,Genburten,au,499,7,533431.79,80,80422
Peter,Jarguz,stanislaw,ca,500,16,533420.72,121,11483
-,-,Chico,ba,501,3,532651.14,63,104665
Kirill,Lukyanov,Lu,ru,502,31,528456.18,49,67979
Tao,Li,Aze,cn,503,118,528374.39,15,90462
Lamar,Abedi,Accuracy,us,504,75,528328.0,55,14874
Victor,Woodley,Punk,us,505,76,527996.61,130,33471
Chuan,Yu,Summer,cn,506,119,527411.9,47,55316
Cody,Conrod,Clix,us,507,77,526675.29,125,62105
Zhishun,Cao,JiuCheng,cn,508,120,524628.69,12,60414
Lennard,Sill,rezon ay,de,509,8,524185.9,126,81271
Troy,Jaroslawski,Canadian,ca,510,17,523861.9,49,35884
Ian,Wyatt,Enable,us,511,78,522597.12,109,1179
Zane,Hearon,Deadzone,us,512,79,520400.0,53,27839
Bryan,Tebessi,Elemzje,fr,514,18,519392.44,58,45708
Marcin,Jankowski,Jankos,pl,515,9,519257.63,41,4584
Ye Chan,Lee,Scout,kr,517,51,517926.83,27,24979
Evgeniy,Lebedev,FL1T,ru,513,32,520069.39,108,48945
Brendan,Falconer,Falconer,us,519,81,516750.0,33,63746
Kai,Ming,ClearLove,cn,520,121,516407.61,48,3386
Daniel,Piecenski,Daniel,us,516,80,518186.71,120,83029
Anthony,Colandro,ZexRow,us,521,82,516084.73,53,52321
Runzhi,Chen,ShiJiu,cn,522,122,515841.57,9,89893
Yueqiang,Dai,18,cn,523,123,515649.74,53,9657
Hongsen,Zhong,33Svan,cn,526,124,513845.72,24,77962
Finlay,Ferguson,rise.,gb,527,13,513166.54,72,88735
Ronghua,Zeng,coolboy,cn,528,125,513159.42,15,69517
Xingwei,Zhou,DBQ,cn,529,126,513015.12,43,25245
Johannes,Wodarz,tabseN,de,525,9,514122.98,229,3952
Jason,Corral,Firstkiller,us,524,83,514492.05,169,49531
Olivier,Vandroux,Renshiro,fr,530,19,510989.39,59,41291
Josh,Roach,Commandment,us,531,84,510923.99,102,61277
Min Chul,Kim,Soulkey,kr,532,52,510558.67,234,2230
Raphael,Peltzer,BunnyHoppor,de,533,10,508531.23,69,28337
Dmytrii,Dubenyuk,Perfect1ks,ua,534,13,507794.18,49,67976
Woo Je,Choi,Zeus,kr,537,53,505261.89,17,91660
Justin,Morales,jstn.,us,535,85,507045.3,112,47086
Timur,Tulepov,Buster,kz,538,3,504561.82,99,35378
Qingsong,Liu,Crisp,cn,539,127,504245.66,19,41414
Xiaolong,Li,BingC,cn,540,128,503448.04,17,89910
Xu Wen,Wang,Infi,cn,541,129,503347.0,173,1340
Jonas,Olofsson,Lekr0,se,542,23,503203.29,139,12859
Wei-Lin,Chen,tom60229,tw,543,6,502777.87,61,11132
Gustavo,Herdina,Herdsz,br,544,7,502457.5,21,78875
Özgür,Eker,woxic,tr,518,2,517274.45,119,19595
João,Vitor,Jv92,br,546,8,500502.59,19,96366
Ivan,Mihai,iM,ro,536,2,506657.34,85,46740
Diego,Zanello,Kheyze,br,547,9,500249.17,18,105839
Samson,Hidalgo,SamH,ph,548,8,500185.83,38,22211
Shane,Hendrixson,rapha,us,549,86,499346.68,123,1157
Eui Seok,Lee,Fearless,kr,550,54,499150.22,25,42893
Hyeon Joon,Moon,Oner,kr,551,55,498158.99,21,83598
John,Håkansson,hAKIS,se,552,24,497953.51,55,76222
Mariano,Arruda,SquishyMuffinz,ca,553,18,497465.62,157,36750
Zhuojun,Zeng,Xiao Hai,cn,554,130,496886.56,63,4635
Andrew,Diaz,Biffle,us,555,87,496658.33,71,79926
Vincent,Schopenhauer,Happy,fr,556,20,496543.3,129,3889
Maciej,Radzio,teeq,pl,557,10,496421.43,72,61242
Evan,Barron,Cented,ca,558,19,496009.79,132,57610
Min Hyeong,Lee,Gumayusi,kr,559,56,495721.4,19,56456
Tianliang,Gao,Tian,cn,560,131,495638.17,19,41044
Nemanja,Isaković,nexa,rs,561,3,495521.37,126,22335
Avery,Silverman,SVG,us,562,88,494852.8,48,21940
Zhe,Ma,MZiN,cn,563,132,494444.77,46,9656
Felipe,De Lucia,FelipoX,br,564,10,493264.04,20,79185
Mareks,Gaļinskis,YEKINDAR,lv,545,3,501639.57,97,37953
Jim Gunnar,Eliassen,Jeemzz,no,565,6,492471.67,72,45853
Anssi,Pekkonen,mxey,fi,566,6,491755.74,57,43808
Chunjian,Wu,Hasaki,cn,567,133,490968.83,19,77961
Nate,Hill,Nate Hill,us,568,89,490816.61,66,52428
Fredrik,Sterner,REZ,se,569,25,490553.69,136,21291
Wesley,Gittens,Wesley,us,570,90,488875.0,15,110335
Seong Jin,Lee,CuVee,kr,571,57,488379.08,21,14599
Júlio,Giacomelli,julio,br,572,11,488009.02,35,17226
Zebin,Chen,bin,cn,573,134,487291.18,21,72658
Guanhong,Chen,Victoria,cn,574,135,486768.64,50,30347
-,-,Pollo,mx,575,1,485625.0,32,122825
Vladislav,Semenov,Kataomi`,ru,576,33,485561.2,39,78548
Dmitry,Kostin,Happy,ru,577,34,485334.87,625,1288
Joe,Taylor,Trippy,us,578,91,485250.0,58,35589
Axel,Touret,Vatira,fr,579,21,484985.74,79,91605
Doh Wook,Kim,Cure,kr,580,58,484530.4,493,7999
Min Ho,Lee,Crown,kr,581,59,484213.89,18,12186
Artem,Adarkin,xmpL,ru,583,35,483818.1,53,51381
Akbar,Butaev,SoNNeikO,uz,584,1,482976.85,96,12578
Lee Sak,Won,PartinG,kr,585,60,482268.18,248,1132
Patrick,Price,Aches,us,586,92,482231.76,89,3705
Jiacheng,Mi,ChengC,cn,587,136,481974.98,28,89301
Alexandre,Christophe,Andilex,fr,588,22,478787.44,141,61233
Justinas,Lekavicius,jL,lt,582,1,484168.56,74,69075
Qi,Zheng,Xxiao,cn,589,137,476231.84,31,89766
Shiyu,Liu,Mlxg,cn,590,138,475990.65,31,11698
Timothy,Ta,autimatic,us,591,93,475963.49,133,11938
Seung Hyun,Lee,Life,kr,592,61,475900.67,76,1429
Tommy,Wilson,Lucid,us,593,94,475475.0,48,36605
Michael,Ross,ninjaboogie,ph,594,9,475429.22,45,3642
Emilio,Leynez,Geometrics,mx,595,2,475400.0,41,41289
Yajun,Yu,皮球,cn,596,139,474338.58,35,71099
Thomas,Ernst,Scrappy,us,597,95,474200.0,28,93107
Matías,Bonanno,Matias,ar,598,3,473824.97,39,101789
Peinan,Li,Oliveira,cn,599,140,473207.85,240,19597
Michael,Szymaniak,MajorManiak,us,600,96,473062.49,38,53098
Geon Bu,Kim,Canyon,kr,601,62,472839.49,30,59915
Gi Yeol,Cho,Seoul,kr,602,63,472659.13,36,73513
Zhichao,Lin,33z,cn,603,141,472547.39,28,95113
Sasha,Hostyn,Scarlett,ca,604,20,472111.32,283,2280
Jun,Yuan,NingZhi,cn,605,142,471572.03,18,60412
Hongqi,Song,Baby,cn,606,143,469907.03,44,104500
Tyler,Latham,Skadoodle,us,607,97,469150.02,113,3752
Benjamin,Rosendahl,Almxnd,us,608,98,468970.73,143,81096
Maikil,Selim,Golden,se,609,26,468460.98,76,28556
Alexandre,Paoli,Extra,fr,610,23,468280.02,77,60682
Mohammed,Alotaibi,trk511,sa,611,2,468063.57,102,82206
Bradley,Laws,APG,us,612,99,467925.0,82,1185
Jin Soo,Park,Jinsoo,kr,613,64,467754.94,4,50883
Feng,Gao,Bean,cn,614,144,466997.59,41,13608
Shengjun,Luo,LilGhost,cn,615,145,466350.93,45,88008
Je hyeon,Woo,Salute,kr,616,65,465334.84,36,99088
Won Ho,Jeong,KyoCha,kr,617,66,465268.99,31,19968
Juan Carlos,Lopez,SpeCial,mx,619,3,464829.08,351,1175
Dennis,Lepore,Cloakzy,us,620,100,464666.66,50,49822
Noah,Wright,Vivid,us,621,101,464141.67,51,51579
Tian,Tang,Ice,cn,622,146,463651.48,17,89900
Artem,Golubiev,Yuragi,ua,624,14,462972.29,35,79686
Jung Hyeog,Lee,sake,kr,625,67,462790.78,30,18570
Tianyu,Zhang,天宇,cn,626,147,461088.6,12,101081
Martin,Larsson,Rekkles,se,627,27,460380.52,55,3554
Jinshan,Liu,领域,cn,628,148,460051.37,19,101080
Sebastian,Kjaer,Trippernn,dk,629,24,459331.62,104,83277
Enzo,Gianoli O'Connor,Timado,pe,630,5,458874.85,65,16336
Jae Won,Lee,Rich,kr,631,68,458795.42,37,15718
Johnathan,Wendel,Fatal1ty,us,632,102,458739.23,40,1139
Levon,Aronian,LevonAronian,am,633,2,458030.43,47,75839
Marco,Pfeiffer,Snappi,dk,623,23,463566.54,158,2462
Brice,Bigeard,ExoTiiK,fr,634,24,456906.49,77,71283
Atif,Ijaz Butt,Atif Butt,pk,635,3,455924.7,15,74084
Nikolay,Nikolov,Nikobaby,bg,636,3,455262.28,41,13644
Chirasak,Moonsarn,Joena,th,637,4,454965.47,26,77130
Daunte,Gray,Sib,us,638,103,454450.0,37,77550
Lin,Yu,SuJiu,cn,639,149,453922.59,42,99089
Juan,Debiedma,Hungrybox,us,640,104,453715.0,352,3918
Sung Hoon,Choi,Polt,kr,641,69,451943.24,139,1003
Jordan,Thomas,HusKerrs,us,642,105,451558.81,140,38120
Gustavo,Rigal,Psycho,br,643,12,449921.91,39,41742
Théo,Mariano,LikEfac,fr,644,25,447708.08,18,77392
Dauren,Kystaubayev,AdreN,kz,645,4,446899.3,159,3676
Rasmus,Nielsen,HooXi,dk,618,22,465140.92,72,35813
Reiji,Maeda,Reiji,jp,646,7,446188.09,15,78491
Nicholas,Di Costanzo,Classic,us,647,106,445574.0,105,7723
Zhiwei,Ye,YZZ,cn,649,150,444729.4,20,103232
Audric,Jug,JaCkz,fr,648,26,445064.17,119,6366
Joon,Kwon,Fielder,kr,650,70,444459.34,26,51540
Glib,Lipatnikov,Funn1k,ua,651,15,443534.74,102,3327
Cen,Jiang,YYF,cn,652,151,443462.66,42,3166
Caden,Pellegrin,Sypical,us,653,107,442646.72,93,52140
Junlong,Kang,JiuLong,cn,654,152,442411.1,14,60413
João,Vasconcelos,jafonsogv,pt,655,1,442063.43,25,126553
Yaroslav,Kuvichko,spyrro,ua,656,16,441617.18,45,72592
Pierre,Silfver,Turbopolsa,se,657,28,441410.05,138,31009
André,Oliveira,nesk,br,658,13,441406.32,46,52206
Won Seok,Heo,PawN,kr,659,71,440960.12,28,4509
Chris,Sexton,Sweetdreams,us,660,108,440949.78,93,40041
Zachariah,Siddall,Pinq,gb,661,14,440376.16,111,83395
Yang,Zhang,YuYang,cn,662,153,439802.84,19,95118
Zhanpeng,Chen,HuShen,cn,663,154,439002.95,2,145863
Cvetelin,Nikolov,CeRq,bg,664,4,438764.0,129,30622
Jason,Doty,Beaulo,us,665,109,438285.0,33,61050
Jae-min,Bae,Knee,kr,666,72,438204.33,128,1524
Aleksi,Jalli,allu,fi,667,7,437977.97,153,2450
Byung Seon,Kim,Fleta,kr,668,73,437819.27,24,37493
Vincent,Cayonte,Brehze,us,669,110,437362.77,117,28489
Martin,Hansen,Wunder,dk,670,25,437155.62,36,10470
Sergey,Bragin,G,ru,671,36,437118.31,87,2603
Lincoln,Lau,fnx,br,673,14,433315.18,74,2456
Adam,Friberg,friberg,se,674,29,432819.53,165,3287
Thomas,Haly,TJHaly,us,675,111,431496.92,90,14174
David,Tillberg,fuzzface,se,676,30,431329.25,46,43862
Nico,Barcelon,Eyyou,ph,677,10,430272.94,32,17238
Guochuan,You,FlowerC,cn,678,155,429808.99,15,95103
Zixuan,Chen,Z9,cn,679,156,429790.92,15,89288
Mihael,Mehle,Mikyx,si,680,2,428687.23,38,11933
Ian,Nepomniachtchi,lachesisQ,ru,681,37,428539.03,59,75848
Igor,Zhdanov,w0nderful,ua,672,17,434705.03,56,81685
Pu,Yang,NeverEnd,cn,682,157,426681.98,34,10728
Gabriel,Fernandes,pino,br,683,15,426231.47,32,21239
Ricardo,Prass,boltz,br,684,16,425991.5,147,12179
Zhen,Wei,GodV,cn,685,158,425902.46,61,11221
Yuya,Nishikawa,Duelo,jp,686,8,423959.19,15,89312
-,-,Tensai,jp,687,9,423833.34,36,94721
Matthew,DeLisi,super,us,688,112,423599.69,28,35121
Renè,Borg,cajunb,dk,689,26,423344.8,150,4996
Jin Hyeok,Seo,Kanavi,kr,690,74,422850.76,17,70813
Paul,Boyer,sOAZ,fr,691,27,422314.88,77,1863
Joshua K,Rogers,Joshua Rogers,au,692,8,422139.99,33,56891
Jong Hyun,Jung,Mvp,kr,693,75,419621.15,70,1002
Murilo,Muzi,Muzi,br,694,17,418875.3,27,66745
Peyton,Tuma,Dez,us,695,113,418500.0,7,130303
Grant,Espe,Moth,us,697,114,418250.63,17,35563
Victor,Locquet,Fairy Peak!,fr,696,28,418284.9,216,36201
Ludvik Greger,Jahnsen,Aitzy,no,698,7,417991.72,48,43816
Duong,Huynh,Kinstaar,ch,699,1,417441.68,67,49559
Sung Won,Moon,MMA,kr,700,76,417169.17,112,1007
Hyo Bin,Choi,ChoiHyoBin,kr,701,77,417109.58,18,36883
Sergey,Pomerantsev,KITSUNE,ru,702,38,417080.96,33,66807
João,Vasconcellos,felps,br,703,18,415574.55,115,12173
Ádám,Torzsás,torzsi,hu,704,1,415551.22,79,44956
Ji Hoon,Jeong,Chovy,kr,705,78,415484.67,37,51473
Tomáš,Šťastný,oskar,cz,707,2,415090.87,147,5472
Luccas,Molina,Paluh,br,708,20,414508.26,39,45806
Noam,Ackenine,Megga,us,709,115,413738.32,65,61769
Farith,Puente,Matthew,pe,711,6,411682.26,74,39426
Tae Min,Choi,MER1T,kr,712,79,410873.38,29,55716
Sung Ho,Cho,Trap,kr,713,80,409745.58,240,3435
-,-,negima,jp,714,10,409517.18,1,103895
Jake,Grannan,Virtue,au,715,9,409420.9,40,55914
River,Handley,Riversan,us,716,116,409266.67,51,57617
Ørjan,Larsen,TheViper,no,717,8,409095.89,284,12243
Francois,Delaunay,Amanek,fr,718,29,408619.73,133,17622
Ander,Tobal,Neat,es,719,1,408545.17,33,88199
Alireza,Firouzja,Firouzja2003,ir,720,1,408468.09,120,76174
Zdravets,Galabov,Hylissang,bg,721,5,408311.14,52,8651
Jiantao,Song,DaoShi,cn,722,159,407738.6,15,101075
Juhani,Toivonen,Kantoraketti,fi,723,8,407396.56,38,40247
Jonathan Bryle,Santos De Guia,Bryle,ca,724,21,407027.65,53,43152
Yuri,Santos,yuurih,br,706,19,415375.42,123,32828
Artur,Ipatov,ShepparD,ru,725,39,406232.47,39,46968
Danil,Gabov,JoyStiCK,ru,726,40,406061.04,38,46969
Tao,Liu,Yuese,cn,727,160,405771.78,14,90600
Alec,Fultz,Fultz,us,728,117,405600.0,44,66746
Du Cong,Dang,NuckleDu,us,729,118,405246.72,106,3605
Gabriël,Rau,Bwipo,be,730,1,404878.32,37,27588
Spencer,Ealing,HugeGorilla,gb,731,15,404021.96,34,16759
Geon Hee,Cho,BeryL,kr,732,81,403857.83,19,41209
Kenta,Sato,glory,jp,733,11,403446.0,47,47080
Alexandre,Pianaro,bodyy,fr,734,30,403033.82,122,9565
Kaike,Cerato,kscerato,br,710,21,411688.18,108,47762
Valdemar,Vangså,Valde,dk,735,27,402880.86,111,17801
Guipeng,Li,KongJue,cn,736,161,402199.13,3,128802
-,-,Title,jp,737,12,402162.0,8,107460
Arslan,Siddique,Arslan Ash,pk,738,4,402131.9,51,61176
Xiang,Huang,TH000,cn,739,162,401927.69,161,1402
Edy,Juan,Newbz,us,740,119,401185.51,131,61631
Josiah,Berry,Slacked,us,741,120,401114.4,108,4143
Jinxiang,Zeng,顾居居,cn,742,163,401018.73,20,101079
Tae Sang,Kim,doinb,kr,743,82,400844.18,24,16021
Su,Heo,ShowMaker,kr,744,83,400600.01,28,59916
Dong Ha,Kim,Khan,kr,745,84,400503.04,31,8931
Mack,Aesoph,MackWood,us,746,121,400423.33,101,57599
Tyler,DeBondt,TwoWayRoco,us,747,122,400000.0,2,131490
Justin,Deese,Pistola,us,748,123,399835.0,83,1210
Trei,Morris,Zer0,gb,749,16,399383.73,84,18268
Alexis,Bernier,zen,fr,750,31,398551.53,55,89607
Taylor-Petrik,Gatschelhofer,Vic0try0na,at,751,3,397722.58,78,106881
Eric,Wright,ProblemWright,us,752,124,397700.0,19,5095
Kamil,Szkaradek,siuhy,pl,754,11,397286.55,57,83740
Emre,Yilmaz,EmreYilmaz,nl,755,8,397149.98,18,110314
Jianhui,Zhang,格子,cn,756,164,396805.81,16,89305
Kirill,Grishin,Kiryache,ru,757,42,396243.8,91,62495
Dorian,Berman,xertioN,il,758,5,395943.99,52,63109
Pyotr,Bolyshev,fame,ru,753,41,397363.44,69,79264
Tobias,Sieber,ShoWTimE,de,759,11,393064.08,350,3811
Gabriel,Vieira,caard,br,760,22,392954.18,96,65444
Adam Erwann Shah,bin Akhtar Hussein,343,my,761,11,392825.7,34,15806
Andrea,Radovanović,Radosin,fr,762,32,392657.58,73,88754
Rodrigo Lelis,Santos,Lelis,br,763,23,391360.94,67,17324
Fabiano,Caruana,FabianoCaruana,us,764,125,391349.56,88,75851
Lucas,Cardenas,Dukez,mx,765,4,391053.46,66,91141
Lucas,Miguel,carrilho,br,766,24,391043.13,28,79769
Kenny,Deo,Xepher,id,767,3,390723.24,50,29627
Frederik,Rasmussen,Frederik Rasmussen,dk,768,28,389709.78,13,56885
Bryan,Wrzek,Merc,us,769,126,389616.67,31,69543
He,Li,Xinhe,cn,770,165,389490.59,19,77960
Felipe Sá,Ferreira,nade,br,771,25,389144.93,12,112692
Ilya,Pevcaev,Illidan,ru,772,43,388809.49,80,3430
Jin Seo,Kim,Shu,kr,773,85,388196.41,22,42941
João,Gomes,Kamikaze,br,774,26,388164.31,31,41740
Bo,Wu,xwudd,cn,775,166,388060.88,43,104322
Tom,Paparratto,ZooMaa,us,776,127,387519.6,88,12582
Byung Goo,Song,Stork,kr,777,86,387248.21,151,1581
Mohammed,Harkous,Mo_aubameyang,de,778,12,387072.72,33,29449
Matthew,Solomon,Achieved,us,779,128,387000.0,30,67397
Kaibo,Yang,DaoZai,cn,780,167,386424.85,4,134341
Andrei,Piovezan,arT,br,781,27,386358.16,125,35525
Qing,Wang,ChenXia,cn,782,168,385775.17,9,60415
Shaohan,Yang,Erika,cn,783,169,385683.53,36,67853
Naltakyan Edgar,Armenovich,9Class,ru,784,44,385450.17,28,122816
Nicolaj,Jensen,Jensen,dk,785,29,385416.68,29,8706
Jaime,Ramos,Cyber,br,786,28,384651.91,37,53108
Martin,Styk,STYKO,sk,787,4,384019.67,133,5433
Youquan,Zhang,QingChen,cn,788,170,383904.54,15,89287
Andre,Türk,unlucky,at,789,4,383847.78,24,96977
Alexander,Kucheria,DkPhobos,ua,790,18,383575.32,48,11721
Tae Won,Park,March,kr,791,87,383210.97,40,4884
Jesper,Svenningsen,Zven,dk,792,30,381307.39,43,6132
Piyapon,Boonchuay,TheCruz,th,793,5,381210.28,18,77117
Hyun Je,Byun,mini,kr,794,88,381200.65,253,2935
Christian,Savina,Pakazs,pe,795,7,380705.2,52,79122
Boyuan,Jiang,Msir,cn,796,171,380600.97,15,89928
Qi,Zeng,Yagao,cn,797,172,380467.01,19,45419
Illias,Ganeev,illias,ru,798,45,380074.42,21,44388
Chuankai,Tao,Chuchen,cn,799,173,379640.68,16,60427
Do Hyeon,Park,Viper,kr,800,89,379382.13,25,44147
Yoon Jong,Jung,Rain,kr,801,90,379135.65,92,3041
Fabien,Fiey,KIOSHIMA,fr,802,33,379045.59,136,3998
Peng,Ou,Op,cn,803,174,378326.22,33,28343
Myung Woon,Kim,ZerO,kr,804,91,377898.04,211,1800
Denis,Kostin,seized,ru,805,46,377628.99,146,4587
Tianyu,Chen,Cty,cn,806,175,377526.26,25,4031
Quanjun,Wan,SuKi,cn,807,176,377272.16,18,95094
Anish,Giri,AnishGiri,nl,808,9,376889.15,57,75844
Artur,Bloch,Nerchio,pl,809,12,376554.08,451,1227
Dylan,Bosco,Bosco,us,811,129,376083.33,45,35905
Jae Yoon,Ma,sAviOr,kr,812,92,376082.44,42,1801
Jinwei,Chen,577,cn,813,177,376062.39,21,111045
Amine,Benayachi,Itachi,ma,810,1,376386.58,80,70234
Paulo,Damo da Rosa,PVDDR,br,814,29,375500.0,8,62600
Levi,de Weerd,Levi de Weerd,nl,815,10,375382.94,35,85333
Yuxin,Ma,YMao,cn,816,178,375233.81,15,101014
Nikolay,Bityukov,Mir,ru,817,47,375089.3,136,14824
Jens,Aasgaard,Snute,no,818,9,375038.71,313,1257
Jong In,Kim,PraY,kr,819,93,374943.56,37,3176
Joon Yeong,Park,Profit,kr,820,94,374144.66,21,37636
Niclas,Mouritzen,Pengu,dk,821,31,374107.39,34,40250
Karl,Zarth,Alem4o,br,822,30,373284.3,28,79181
Dennis,Edman,dennis,se,823,31,373282.24,102,2494
Tao,Luo,Bamboo,cn,824,179,373064.1,15,89295
Vitalii,Shulga,matic,ru,825,48,372639.71,26,66808
Qigui,Xiao,Li,cn,826,180,372315.37,4,108069
Aidan,Bernero,Ajerss,us,828,130,371522.51,103,84066
Zixuan,Zuo,Aixleft,cn,829,181,371037.68,57,55525
Aaron,Elam,Ace,us,830,131,371037.5,75,1177
Min Chul,Kim,Izayaki,kr,831,95,370914.62,23,50325
Wataru,Ishibashi,posesi,jp,832,13,370815.0,49,45830
Hyeon-Seok,Han,ChiYo,kr,833,96,370727.57,24,57281
Jae Gon,Lee,LeeJaeGon,kr,834,97,370390.41,29,55703
Andrii,Bondarenko,alwayswannafly,ua,835,19,370041.45,106,3096
Saleh,Bakhashwin,Rw9,sa,836,3,369949.44,76,95139
Paulo,Neto,Paulo Neto,br,837,31,369560.06,37,61473
Wenjie,Cao,阿杰,cn,838,182,369391.53,20,101011
Victor,Orudzhev,sdy,ua,839,20,369055.25,101,44436
Jose Leonardo,Padilla Hernandez,Panda,pe,840,8,366855.46,39,39528
Junze,Yan,Letme,cn,841,183,366745.59,20,13882
Purin,Rongkhankaew,Stoned,th,842,6,366303.1,38,75090
Maximilian,Broecker,qojqva,de,843,13,365940.08,92,3459
Malachi,Greiner,Reverse2k,us,845,132,365581.92,74,51618
Ethan,Pink,Fifakill,gb,847,17,364739.09,89,83602
Nathanial,Duvall,Rampy,us,848,133,364593.33,43,49653
Ivan,Antonov,ArtStyle,ua,849,21,364570.71,36,2575
Yu Min,Sung,CH0R0NG,kr,850,98,364160.23,17,65538
Billy,Putnam,MentaL,us,851,134,364051.67,97,32564
Benjamin,Bremer,blameF,dk,846,33,364836.08,96,44131
Manuel,Schenkhuizen,Grubby,nl,852,11,363571.93,174,1140
Kaifeng,Zhang,HuaYun,cn,853,184,361940.72,13,95079
Hamzah,El-Baher,Hera,ca,854,22,361713.01,219,25296
Makenzie,Kelley,Mack,us,855,135,361500.0,24,82367
Andrey,Kuropatkin,Dukalis,ru,856,49,360316.73,47,71501
Miron,Novikov,Effect,ru,857,50,360250.0,15,116486
Jin Woo,Im,Reset,kr,858,99,360243.52,30,18568
