NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments,PlayerId
Jin Xiang,Cheng,NothingToSay,my,59,2,1974694.93,56,42140
Vladimir,Minenko,Noone,ua,60,4,1960799.78,111,13323
Yang,Zhou,bLink,cn,61,11,1960761.59,26,10711
Harrison,Chang,psalm,us,62,6,1959500.0,60,25047
Quinn,Callahan,Quinn,us,63,7,1947970.27,87,30573
Siyuan,Luo,HuaHai,cn,64,12,1941993.39,23,70610
Emil,Reif,Magisk,dk,65,8,1934223.63,144,17800
Lukas,Rossander,gla1ve,dk,66,9,1929503.03,190,3672
Yeik Nai,Zheng,MidOne,my,67,3,1896531.44,82,27134
Tyler,Pharris,aBeZy,us,68,8,1882655.68,71,53093
Ning,Zhang,xiao8,cn,69,13,1877518.06,58,2596
Bicheng,Xu,Yinuo,cn,70,14,1871202.59,25,60433
Damien,Chok,kpii,au,71,2,1865667.57,88,15530
Shane,Cotton,EpikWhale,us,72,9,1838487.32,125,61948
Denis,Sigitov,Larl,ru,73,6,1831224.07,45,91174
Christopher,Lehr,Simp,us,74,10,1830078.33,63,32897
Håvard,Nygaard,rain,no,75,1,1819816.24,181,5483
Sang Hyeok,Lee,Faker,kr,76,1,1816084.56,72,3832
Daryl Koh,Pei Xiang,iceiceice,sg,77,1,1812855.42,111,1949
Yunfei,Peng,Fly,cn,78,15,1767497.6,28,60417
Hongda,Zeng,Faith,cn,79,16,1764633.21,108,3168
Junhao,Xie,Super,cn,80,17,1764310.33,94,3161
Russel,Van Dulken,Twistzz,ca,81,3,1763893.1,146,20415
Zhihao,Chen,Hao,cn,82,18,1761674.53,60,3146
Dan,Madesclaire,apEX,fr,83,2,1747015.64,239,3888
Pavel,Khvastunov,9pasha,ru,84,7,1733385.13,82,13322
Oleksandr,Kostyljev,s1mple,ua,85,5,1722255.32,153,8169
Zhengzheng,Chen,Cat,cn,86,19,1716947.58,22,60467
Daheng,Li,Pang,cn,87,20,1682659.41,13,95069
McArthur,Jovel,Cellium,us,88,11,1674298.93,75,36617
Joona,Sotala,Serral,fi,89,4,1666325.57,183,5513
Robin,Kool,ropz,ee,90,2,1661577.41,136,31594
Letian,Zhong,1dao,cn,91,21,1656199.27,18,90011
Denis,Sharipov,electroNic,ru,92,8,1650967.01,132,16267
Nikola,Kovač,NiKo,ba,93,1,1636760.15,185,5783
Youqi,Cai,Yu,cn,94,22,1626161.52,17,97600
