NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Nathan,Amundson,Reet,us,941,152,336480.78,96
Peter,Peng,Doublelift,us,942,153,336475.81,55
Tizian,Feldbusch,tiziaN,de,943,17,336389.74,151
Danila,Dontsov,Dan,ru,944,58,335465.32,29
Yuchao,Zhou,Frozen,cn,945,190,335423.13,17
Zhubiao,Long,ZuiChu,cn,946,191,335372.09,8
Jack,Benton,ApparentlyJack,gb,947,20,335292.82,99
Tshaka,Taylor,Arsenal,us,948,154,335254.62,115
Daying,Wei,xxxLu,cn,949,192,335194.39,34
Per Anders,Olsson-Lille,Pajkatt,se,950,33,334875.27,67
Jae Hee,Hong,Gesture,kr,951,113,334811.33,16
Zhiqi,Shu,General,cn,952,193,334699.91,13
Weixiang,Lin,Lwx,cn,953,194,334653.16,16
Mikhail,Stolyarov,Dosia,ru,954,59,334535.70,143
Feng,Zhou,YiQu,cn,955,195,334431.35,13
Pedro,Ribeiro,sparkingg,br,956,37,334427.50,36
Robert,Kyser,comm,us,957,155,334157.99,95
Wenqiang,Wang,Bell,cn,958,196,333949.50,7
Xiaoming,Chi,Ming,cn,959,197,333220.11,15
Dong Nyoung,Lee,Leenock,kr,960,114,333082.56,186
Andrea,Mengucci,Andrea Mengucci,it,961,2,332300.00,10
Gilbert,Rojo,Xplosive,ph,962,12,332275.00,103
Thomas,Mulligan,72hrs,us,963,156,332233.33,42
Miikka,Kemppi,suNny,fi,964,9,331580.05,95
Thomas,Hörak,Tschiiinken,at,965,5,331376.94,30
Rongxin,Yang,XiaoA,cn,966,198,331301.61,15
Morten,Mehmert,Morten,de,967,18,331050.00,29
Brent,Mullany,Poonage,us,968,157,330927.25,36
Haitao,Xiao,Lon9z,cn,969,199,330494.02,15
Frederik,Gyldstrand,acoR,dk,970,38,330441.37,94
Mark,Zakhary,Mark11,au,971,10,330391.17,19
Yang,Liu,OnlyS,cn,972,200,330084.71,16
Youci,Huang,Dd,cn,973,201,329996.78,12
Beom Hyeon,Kang,GorillA,kr,974,115,329758.45,29
Kurtis,Bond,Purdy,us,975,158,329700.29,57
Corbin,Lee,C0M,us,976,159,329613.34,17
Jimi,Salo,Jimpphat,fi,977,10,329232.74,41
Jeong Wan,Ham,SOMEONE,kr,978,116,329031.10,21
Vinicius,Figueiredo,VINI,br,979,38,328757.81,113
Pittner,Armand,bOne7,ro,980,3,328744.99,61
William,Paquin-Brien,Fatch,ca,981,25,328495.00,40
Blaž,Lešnik,K1nzell,si,982,3,328247.53,68
Chenyi,Yao,闪电,cn,983,202,327830.08,10
Xuezhuang,Su,SuNan,cn,984,203,327805.55,19
Evan,Moore,SuperEvan,us,985,160,327197.06,93
Noah,Rey,Noahreyli,ch,986,2,327070.24,110
Yiran,Xu,Six,cn,987,204,326950.96,31
Vinny,Gilgan,Vinny1x,us,988,161,326913.80,24
Rosario,Villardi,JeffHindla,us,989,162,326614.31,18
Adam,Garcia,Assault,us,990,163,325927.76,54
Sanjar,Kuliev,SANJI,uz,991,2,325242.42,66
Oscar,Cañellas Colocho,mixwell,es,992,2,325177.35,106
Seung Bin,Gu,imp,kr,993,117,325082.77,29
Kyle,Storer,torment,us,994,164,325021.97,147
Airat,Gaziev,Silent,ru,995,60,324990.29,92
Yachao,Zhang,pickfeet,cn,996,205,324705.39,13
Andrew,Woodward,Andinster,us,997,165,324506.65,18
Zihao,Gao,A Hao,cn,998,206,324405.00,9
Yangwei,Yan,wei,cn,999,207,324276.51,13
Yunhui,Feng,Beautiful,cn,1000,208,323998.39,12
