NameFirst,NameLast,CurrentHandle,CountryCode,WorldRanking,CountryRanking,TotalUSDPrize,TotalTournaments
Seong Ung,Bae,Bengi,kr,270,14,810882.84,21
Dominique,Mclean,SonicFox,us,271,39,809747.54,147
Riccardo,Romiti,Reynor,it,272,1,804459.73,259
Fan,Bai,rOtK,cn,273,65,800232.07,52
Shin Hyung,Lee,INnoVation,kr,274,15,799192.66,297
Leonid,Vishnyakov,Chopper,ru,257,17,838351.78,104
Tarik,Celik,tarik,us,275,40,797339.21,149
Danylo,Teslenko,Zeus,ua,276,9,792585.87,204
Diego,Lima,Arkhram,us,277,41,791861.68,72
Anders,Vejrgang,Vejrgang,dk,278,14,790987.09,26
Tony,Campbell,Lethul,us,279,42,790771.25,90
Stephane,Lebleu,Shaiiko,fr,281,9,788541.49,51
Jae Ho,Jang,Moon,kr,282,16,782559.43,276
Yong In,Jo,CoreJJ,kr,283,17,782465.36,43
Benjy David,Fish,BenjyFishy,gb,284,4,782337.52,153
Bozhidar,Bozhilov,bzm,bg,285,2,781289.30,42
Zhiyi,Jin,flyfly,cn,286,66,780184.65,52
Tao,Jiang,Adou,cn,287,67,780182.01,18
Wang Ho,Han,Peanut,kr,288,18,771351.93,41
Lotan,Giladi,Spinx,il,289,3,764518.33,77
Patrik,Lindberg,f0rest,se,290,11,763991.04,275
Filip,Kubski,neo,pl,291,5,762311.73,238
Matthew,Tinsley,Kismet,us,292,43,761958.33,48
Brandon,Otell,Dashy,ca,293,12,760147.99,63
Dzhami,Ali,Jame,ru,294,22,757651.06,124
Ilya,Osipov,m0NESY,ru,295,23,757217.61,62
Umut,Gültekin,Umut,de,296,6,756907.63,37
Moussa,Faour,Chapix,se,297,12,755193.13,152
Boris,Vorobiev,magixx,ru,280,21,789501.66,81
Cong,Zhang,WuMing,cn,299,68,748209.82,12
Kenny,Schrub,kennyS,fr,300,10,746091.36,178
Wiktor,Wojtas,TaZ,pl,298,6,748924.02,255
Benjamin,Bance,Bance,gb,301,5,745429.94,67
Jiapeng,Lu,Peng,cn,302,69,743932.92,17
Zhou,Du,Qfeng,cn,303,70,741420.61,19
Hock Chuan,Wong,ChuaN,my,304,8,741416.26,67
Henrik,Mclean,Hen,gb,305,6,741165.84,116
Junlan,Peng,Mlan,cn,306,71,737307.43,14
Paco,Rusiewiez,HyDra,fr,307,11,736550.69,42
Xiangyu,Xu,JinYu,cn,308,72,735796.59,16
Jiajun,Xu,qc,cn,309,73,734838.74,11
Shujie,Feng,Suk,cn,310,74,731279.15,29
Cesar,Bueno,Skyz,us,311,44,730775.00,37
Theo,Ferrer,Crue,se,312,13,728500.00,49
Tae Yang,Jun,TY,kr,313,19,727444.42,177
Mossad,Aldossary,MSdossary7,sa,314,1,724097.02,38
Arif,Anwar,MSS,us,315,45,723577.98,80
Adrián,Dobles,Wisper,bo,316,1,721947.87,61
Qingyou,Fang,Byshow,cn,317,75,721929.21,16
Ioann,Sukharev,Edward,ua,318,10,721618.24,215
Yi,Zhou,Emo,cn,319,76,721235.90,53
Kyle,Jackson,Mongraal,gb,320,7,720629.23,94
Yinan,Chen,MMing,cn,322,77,720366.12,67
Jiahan,Xiong,pyw,cn,323,78,717764.82,54
Rasmus,Beck,sjuush,dk,321,15,720563.09,104
Jordan,Kaplan,JKap,us,324,46,714188.81,97
Aydan,Conrad,Aydan,us,325,47,711936.69,188
Rasmus,Borregaard Winther,Caps,dk,326,16,709619.84,48
Scofield leches,Gomez,Scofield,pe,327,1,707423.07,74
Xinzhou,Liu,garder,cn,328,79,705536.20,33
Jonathan,Berg,Loda,se,329,14,705204.72,105
Hee Joo,Na,Inonix,kr,330,20,703435.17,44
Turner,Tenney,Tfue,us,331,48,702825.01,91
Justin,Savage,jks,au,332,4,702351.43,125
Matvey,Vasyunin,MieRo,ru,333,24,702151.60,36
Young Ho,Lee,Flash,kr,334,21,700820.76,113
Indervir,Dhaliwal,iLLeY,ca,335,13,696553.33,50
Ethan,Arnold,Ethan,us,336,49,693647.05,104
Kevin,Smith,Eco,us,337,50,693275.00,63
Zezhi,Chen,Xz,cn,338,80,692327.42,25
Abdullah,Akhras,Acorn,ca,339,14,691577.39,162
Sung Wook,Joo,Zest,kr,340,22,690082.59,497
David,Čerňanský,frozen,sk,342,3,689231.99,143
Rhye,Perry,Zer0,au,343,5,688927.23,81
Tingpu,Yang,GAI,cn,344,81,688016.28,15
Eon Yeong,Jung,Impact,kr,345,23,686649.73,48
Armel Paul,Tabios,Armel,ph,346,6,684905.69,66
Qinglong,Zeng,QiaoXi,cn,347,82,684334.96,9
Sergey,Rykhtorov,Ax1Le,ru,348,26,683496.95,89
Yi,Pan,Fade,cn,349,83,680524.49,50
Braedon,Boettcher,StelluR,us,350,51,678675.00,58
Run,Ma,Beizhai,cn,351,84,678414.22,25
Jerry,Lundqvist,EGM,se,352,15,677630.08,86
