PlayerId,FirstTournament,LastTournament,CareerLengthYears,TotalUSDPrize,CurrentHandle,CareerStatus,StartYear,EndYear,GameType,FirstTournamentYear,TotalTournaments,LastTournamentYear,GameId,GameName,Top10PctEarningsRatio
3752,2013-01-20,2024-12-08,11.88227241615332,469150.02,Skadoodle,Ongoing,2013,2024,FPS,2013,113,2024,245,Counter-Strike: Global Offensive,0.5249812516137123
3773,2012-10-21,2025-03-04,12.366872005475702,2038081.34,Solo,Ongoing,2012,2025,MOBA,2012,121,2025,231,Dota 2,0.7352912916918916
3799,2010-08-01,2024-07-06,13.930184804928132,640049.28,Tommey,Ongoing,2010,2024,Battle Royale,2010,237,2024,648,Call of Duty: Warzone,0.5446567981944672
3801,2010-02-21,2024-05-19,14.239561943874058,1233646.68,Clayster,Ongoing,2010,2024,FPS,2010,144,2024,364,Call of Duty: Advanced Warfare,0.7465616785265679
3811,2012-10-21,2024-12-01,12.112251882272416,393064.08,ShoWTimE,Ongoing,2012,2024,RTS,2012,350,2024,151,StarCraft II,0.6488970737715128
3813,2009-12-30,2019-03-13,9.19917864476386,1283122.84,Banana,Inactive,2009,2019,MOBA,2009,46,2019,231,Dota 2,0.914437232094103
3818,2013-05-21,2023-02-19,9.749486652977414,589720.96,Neeb,Inactive,2013,2023,RTS,2013,227,2023,151,StarCraft II,0.5714637403939771
3822,2013-03-26,2022-04-22,9.073237508555783,6486623.98,JerAx,Inactive,2013,2022,MOBA,2013,68,2022,231,Dota 2,0.924696701667027
3830,2013-02-23,2019-11-10,6.71047227926078,549295.45,Mata,Inactive,2013,2019,MOBA,2013,38,2019,164,League of Legends,0.5013907042008703
3831,2013-06-15,2016-11-19,3.430527036276523,810882.84,Bengi,Inactive,2013,2016,MOBA,2013,21,2016,164,League of Legends,0.6509934919294202
3832,2013-06-15,2024-11-02,11.383983572895277,1816084.56,Faker,Ongoing,2013,2024,MOBA,2013,72,2024,164,League of Legends,0.560208286974958
3836,2013-02-23,2018-09-08,5.538672142368241,913167.87,Wolf,Inactive,2013,2018,MOBA,2013,35,2018,164,League of Legends,0.6984816548556849
3843,2013-02-21,2023-11-19,10.740588637919233,533702.27,Deft,Inactive,2013,2023,MOBA,2013,50,2023,164,League of Legends,0.38093491701077464
3875,2012-10-08,2025-01-12,12.262833675564682,929251.08,JW,Ongoing,2012,2025,FPS,2012,190,2025,245,Counter-Strike: Global Offensive,0.5828893919322503
3878,2012-10-07,2023-10-30,11.06091718001369,888552.89,flusha,Inactive,2012,2023,FPS,2012,191,2023,245,Counter-Strike: Global Offensive,0.6143481829415572
3881,2008-02-24,2025-05-04,17.190965092402465,854303.99,shox,Ongoing,2008,2025,FPS,2008,226,2025,245,Counter-Strike: Global Offensive,0.5579553698846359
3882,2008-08-24,2025-01-21,16.410677618069816,812938.18,GuardiaN,Ongoing,2008,2025,FPS,2008,167,2025,245,Counter-Strike: Global Offensive,0.5504774829289025
3883,2012-08-26,2024-10-27,12.16974674880219,2225525.08,dupreeh,Ongoing,2012,2024,FPS,2012,198,2024,245,Counter-Strike: Global Offensive,0.6065610549404665
3885,2010-10-23,2025-05-18,14.568104038329912,2080664.98,dev1ce,Ongoing,2010,2025,FPS,2010,191,2025,245,Counter-Strike: Global Offensive,0.6072513832587844
3888,2010-04-05,2025-05-04,15.080082135523615,1747015.64,apEX,Ongoing,2010,2025,FPS,2010,239,2025,245,Counter-Strike: Global Offensive,0.6213827724160473
3889,2008-03-03,2021-11-27,13.735797399041752,496543.3,Happy,Inactive,2008,2021,FPS,2008,129,2021,245,Counter-Strike: Global Offensive,0.6006738899773847
3918,2008-06-08,2025-02-16,16.692676249144423,453715.0,Hungrybox,Ongoing,2008,2025,Fighting,2008,352,2025,204,Super Smash Bros. Melee,0.5414713440459423
3946,2012-12-17,2024-08-18,11.668720054757015,2063162.95,Resolut1on,Ongoing,2012,2024,MOBA,2012,115,2024,231,Dota 2,0.836884085397165
3951,2012-08-25,2021-11-14,9.221081451060916,608724.32,chrisJ,Inactive,2012,2021,FPS,2012,152,2021,245,Counter-Strike: Global Offensive,0.6166586044678287
3952,2012-08-25,2025-05-18,12.728268309377139,514122.98,tabseN,Ongoing,2012,2025,FPS,2012,229,2025,245,Counter-Strike: Global Offensive,0.42864715014362653
3959,2013-01-13,2024-08-13,11.58110882956879,336389.74,tiziaN,Ongoing,2013,2024,FPS,2013,151,2024,245,Counter-Strike: Global Offensive,0.47317709764775034
3998,2011-05-15,2021-04-28,9.95482546201232,379045.59,KIOSHIMA,Inactive,2011,2021,FPS,2011,136,2021,245,Counter-Strike: Global Offensive,0.46865077476630174
4027,2012-10-28,2022-07-16,9.713894592744696,994746.71,pieliedie,Inactive,2012,2022,MOBA,2012,88,2022,231,Dota 2,0.669125256351876
4028,2013-05-05,2024-05-26,11.058179329226558,2714369.91,Arteezy,Ongoing,2013,2024,MOBA,2013,127,2024,231,Dota 2,0.6421222420838872
4029,2013-04-18,2020-09-19,7.422313483915127,328744.99,bOne7,Inactive,2013,2020,MOBA,2013,61,2020,231,Dota 2,0.7611950366149748
4030,2013-07-06,2022-07-17,9.02943189596167,1406042.25,Fenrir,Inactive,2013,2022,MOBA,2013,77,2022,231,Dota 2,0.7286196839527986
4031,2013-07-06,2023-06-26,9.971252566735114,377526.26,Cty,Inactive,2013,2023,MOBA,2013,25,2023,231,Dota 2,0.7696970660994392
4033,2013-07-06,2024-07-21,11.041752224503764,3159545.98,fy,Ongoing,2013,2024,MOBA,2013,112,2024,231,Dota 2,0.7987109203964541
4038,2012-11-25,2024-12-08,12.035592060232718,553869.6,Uzi,Ongoing,2012,2024,MOBA,2012,44,2024,164,League of Legends,0.42832958946861144
4070,2013-08-03,2025-03-16,11.616700889801505,1078863.8,Rogue,Ongoing,2013,2025,RTS,2013,271,2025,151,StarCraft II,0.8219916921461642
4143,2011-11-20,2023-12-20,12.082135523613964,401114.4,Slacked,Inactive,2011,2023,FPS,2011,108,2023,364,Call of Duty: Advanced Warfare,0.5333212881092471
4311,2013-08-18,2024-10-20,11.173169062286105,640176.87,Rush,Ongoing,2013,2024,FPS,2013,140,2024,245,Counter-Strike: Global Offensive,0.5754259921911438
4469,2013-06-29,2020-09-05,7.186858316221766,329758.45,GorillA,Inactive,2013,2020,MOBA,2013,29,2020,164,League of Legends,0.35967943476762676
4509,2013-08-31,2019-04-13,5.61533196440794,440960.12,PawN,Inactive,2013,2019,MOBA,2013,28,2019,164,League of Legends,0.48587141859054783
4574,2012-01-22,2025-05-18,13.319644079397673,351211.67,MarineLorD,Ongoing,2012,2025,RTS,2012,223,2025,151,StarCraft II,0.7363138968298465
4584,2012-10-28,2023-07-30,10.751540041067761,519257.63,Jankos,Inactive,2012,2023,MOBA,2012,41,2023,164,League of Legends,0.586137428685844
4587,2011-12-18,2024-06-09,12.476386036960985,377628.99,seized,Ongoing,2011,2024,FPS,2011,146,2024,245,Counter-Strike: Global Offensive,0.5155995477713854
4603,2013-09-15,2024-07-21,10.847364818617386,809747.54,SonicFox,Ongoing,2013,2024,Fighting,2013,147,2024,541,Dragon Ball FighterZ,0.7318486896005263
4629,2013-10-04,2016-11-20,3.1293634496919918,346636.78,Looper,Inactive,2013,2016,MOBA,2013,17,2016,164,League of Legends,0.5361548006471418
4634,2013-08-31,2023-09-29,10.078028747433265,352298.16,SwordArt,Inactive,2013,2023,MOBA,2013,38,2023,164,League of Legends,0.3786491114614496
4635,2013-09-29,2025-03-08,11.43874058863792,496886.56,Xiao Hai,Ongoing,2013,2025,Fighting,2013,63,2025,434,Street Fighter V,0.8048548611161438
4674,2013-08-03,2022-07-29,8.985626283367557,690082.59,Zest,Inactive,2013,2022,RTS,2013,497,2022,151,StarCraft II,0.8150479812143511
